Hour,Stop_id,Trip_type,Train_Type,Train_number,Platform,Passed_Stations,Stations,Arrival,Departure
6,2147786669134331658-2410280554-2,N,RE,22341,4,Forchheim(Oberfr),Fürth(Bay)Hbf|Nürnberg Hbf,2410280601,2410280603
6,1985856209304712208-2410280610-3,N,RE,22300,1,Nürnberg Hbf|Fürth(Bay)Hbf,Forchheim(Oberfr),2410280625,2410280627
6,7564939602642369361-2410280628-5,S,S,39113,3,Forchheim(Oberfr)|Kersbach|Baiersdorf|Bubenreuth,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf|Feucht|Feucht Ost|Ochenbruck|Mimberg|Burgthann|Oberferrieden|Postbauer-Heng|Pölling|Neumarkt(Oberpf),2410280640,2410280641
6,-8232034301108802905-2410280645-5,S,S,39115,3,Forchheim(Oberfr)|Kersbach|Baiersdorf|Bubenreuth,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf|Feucht|Feucht Ost|Ochenbruck|Mimberg|Burgthann|Oberferrieden|Postbauer-Heng|Pölling|Neumarkt(Oberpf),2410280658,2410280700
6,7491717231550352436-2410280545-5,S,S,39109,3,Forchheim(Oberfr)|Kersbach|Baiersdorf|Bubenreuth,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf|Feucht|Feucht Ost|Ochenbruck|Mimberg|Burgthann|Oberferrieden|Postbauer-Heng|Pölling|Neumarkt(Oberpf),2410280558,2410280602
6,-6095739792237584977-2410280552-19,S,S,39112,2,Neumarkt(Oberpf)|Pölling|Postbauer-Heng|Oberferrieden|Burgthann|Mimberg|Ochenbruck|Feucht Ost|Feucht|Nürnberg Hbf|Nürnberg-Steinbühl|Nürnberg Rothenburger Str.|Fürth(Bay)Hbf|Fürth-Klinikum|Vach|Eltersdorf|Erlangen-Bruck|Erlangen Paul-Gossen-Straße,Bubenreuth|Baiersdorf|Kersbach|Forchheim(Oberfr),2410280654,2410280657
7,-2455869286088398794-2410280612-19,S,S,39114,2,Neumarkt(Oberpf)|Pölling|Postbauer-Heng|Oberferrieden|Burgthann|Mimberg|Ochenbruck|Feucht Ost|Feucht|Nürnberg Hbf|Nürnberg-Steinbühl|Nürnberg Rothenburger Str.|Fürth(Bay)Hbf|Fürth-Klinikum|Vach|Eltersdorf|Erlangen-Bruck|Erlangen Paul-Gossen-Straße,Bubenreuth|Baiersdorf|Kersbach|Forchheim(Oberfr),2410280713,2410280714
7,2985697078014919992-2410280740-5,S,S,39121,3,Forchheim(Oberfr)|Kersbach|Baiersdorf|Bubenreuth,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf,2410280752,2410280753
7,-3661701859733087102-2410280706-5,S,S,39117,3,Forchheim(Oberfr)|Kersbach|Baiersdorf|Bubenreuth,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf|Feucht|Feucht Ost|Ochenbruck|Mimberg|Burgthann|Oberferrieden|Postbauer-Heng|Pölling|Neumarkt(Oberpf),2410280718,2410280719
7,-8156853985189250548-2410280728-5,S,S,39119,3,Forchheim(Oberfr)|Kersbach|Baiersdorf|Bubenreuth,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf|Feucht|Feucht Ost|Ochenbruck|Mimberg|Burgthann|Oberferrieden|Postbauer-Heng|Pölling|Neumarkt(Oberpf),2410280740,2410280741
7,3263039055968882263-2410280652-2,N,RE,22363,4,Forchheim(Oberfr),Fürth(Bay)Hbf|Nürnberg Hbf,2410280659,2410280701
7,711571425070011510-2410280632-19,S,S,39116,2,Neumarkt(Oberpf)|Pölling|Postbauer-Heng|Oberferrieden|Burgthann|Mimberg|Ochenbruck|Feucht Ost|Feucht|Nürnberg Hbf|Nürnberg-Steinbühl|Nürnberg Rothenburger Str.|Fürth(Bay)Hbf|Fürth-Klinikum|Vach|Eltersdorf|Erlangen-Bruck|Erlangen Paul-Gossen-Straße,Bubenreuth|Baiersdorf|Kersbach|Forchheim(Oberfr),2410280734,2410280735
7,-2166928380422243575-2410280719-2,N,RE,22303,4,Forchheim(Oberfr),Fürth(Bay)Hbf|Nürnberg Hbf,2410280727,2410280729
7,-1558926093266839869-2410280710-3,N,RE,22302,1,Nürnberg Hbf|Fürth(Bay)Hbf,Forchheim(Oberfr),2410280725,2410280727
7,-404542495566470187-2410280738-3,N,RE,22374,1,Nürnberg Hbf|Fürth(Bay)Hbf,Forchheim(Oberfr),2410280752,2410280754
7,-8232034301108802905-2410280645-5,S,S,39115,3,Forchheim(Oberfr)|Kersbach|Baiersdorf|Bubenreuth,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf|Feucht|Feucht Ost|Ochenbruck|Mimberg|Burgthann|Oberferrieden|Postbauer-Heng|Pölling|Neumarkt(Oberpf),2410280658,2410280700
8,-5269940306155930597-2410280819-2,N,RE,22305,4,Forchheim(Oberfr),Fürth(Bay)Hbf|Nürnberg Hbf,2410280827,2410280829
8,5721612639333538720-2410280806-5,S,S,39123,3,Forchheim(Oberfr)|Kersbach|Baiersdorf|Bubenreuth,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf|Feucht|Feucht Ost|Ochenbruck|Mimberg|Burgthann|Oberferrieden|Postbauer-Heng|Pölling|Neumarkt(Oberpf),2410280818,2410280819
8,6989572736251189669-2410280754-2,N,RE,22351,4,Forchheim(Oberfr),Fürth(Bay)Hbf|Nürnberg Hbf,2410280801,2410280803
8,-3235788552621591503-2410280838-3,N,RE,22364,1,Nürnberg Hbf|Fürth(Bay)Hbf,Forchheim(Oberfr),2410280852,2410280854
8,-4152994691151653968-2410280810-3,N,RE,22304,1,Nürnberg Hbf|Fürth(Bay)Hbf,Forchheim(Oberfr),2410280825,2410280827
8,-757549398927910441-2410280732-19,S,S,39122,2,Neumarkt(Oberpf)|Pölling|Postbauer-Heng|Oberferrieden|Burgthann|Mimberg|Ochenbruck|Feucht Ost|Feucht|Nürnberg Hbf|Nürnberg-Steinbühl|Nürnberg Rothenburger Str.|Fürth(Bay)Hbf|Fürth-Klinikum|Vach|Eltersdorf|Erlangen-Bruck|Erlangen Paul-Gossen-Straße,Bubenreuth|Baiersdorf|Kersbach|Forchheim(Oberfr),2410280834,2410280835
8,-313718060956624569-2410280853-1,S,S,39127,3,null,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf,null,2410280853
8,-1230104372488727563-2410280828-5,S,S,39125,3,Forchheim(Oberfr)|Kersbach|Baiersdorf|Bubenreuth,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf|Feucht|Feucht Ost|Ochenbruck|Mimberg|Burgthann|Oberferrieden|Postbauer-Heng|Pölling|Neumarkt(Oberpf),2410280840,2410280841
9,-1759803950474775018-2410280928-5,S,S,39131,3,Forchheim(Oberfr)|Kersbach|Baiersdorf|Bubenreuth,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf|Feucht|Feucht Ost|Ochenbruck|Mimberg|Burgthann|Oberferrieden|Postbauer-Heng|Pölling|Neumarkt(Oberpf),2410280940,2410280942
9,-7616247727835093691-2410280906-5,S,S,39129,3,Forchheim(Oberfr)|Kersbach|Baiersdorf|Bubenreuth,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf|Feucht|Feucht Ost|Ochenbruck|Mimberg|Burgthann|Oberferrieden|Postbauer-Heng|Pölling|Neumarkt(Oberpf),2410280918,2410280919
9,-4317184554013569175-2410280812-19,S,S,39126,2,Neumarkt(Oberpf)|Pölling|Postbauer-Heng|Oberferrieden|Burgthann|Mimberg|Ochenbruck|Feucht Ost|Feucht|Nürnberg Hbf|Nürnberg-Steinbühl|Nürnberg Rothenburger Str.|Fürth(Bay)Hbf|Fürth-Klinikum|Vach|Eltersdorf|Erlangen-Bruck|Erlangen Paul-Gossen-Straße,Bubenreuth|Baiersdorf|Kersbach|Forchheim(Oberfr),2410280913,2410280914
9,3000699117699445524-2410280920-2,N,RE,22307,4,Forchheim(Oberfr),Fürth(Bay)Hbf|Nürnberg Hbf,2410280927,2410280929
9,1156553079358842530-2410280854-2,N,RE,22347,4,Forchheim(Oberfr),Fürth(Bay)Hbf|Nürnberg Hbf,2410280901,2410280903
9,5709186323969707913-2410280910-3,N,RE,22306,1,Nürnberg Hbf|Fürth(Bay)Hbf,Forchheim(Oberfr),2410280925,2410280927
9,-8425657484974142713-2410280938-3,N,RE,22376,1,Nürnberg Hbf|Fürth(Bay)Hbf,Forchheim(Oberfr),2410280952,2410280954
9,1097463591128558983-2410280832-19,S,S,39128,2,Neumarkt(Oberpf)|Pölling|Postbauer-Heng|Oberferrieden|Burgthann|Mimberg|Ochenbruck|Feucht Ost|Feucht|Nürnberg Hbf|Nürnberg-Steinbühl|Nürnberg Rothenburger Str.|Fürth(Bay)Hbf|Fürth-Klinikum|Vach|Eltersdorf|Erlangen-Bruck|Erlangen Paul-Gossen-Straße,Bubenreuth|Baiersdorf|Kersbach|Forchheim(Oberfr),2410280934,2410280935
9,-7412926127104848028-2410280953-1,S,S,39133,3,null,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf,null,2410280953
